name,J-cat Score,task,Sentence Length,Clause Length,Clauses per Sentence,CC Freq,SC Freq,CTTR
FFR63,159.0,m1,8.972222222222221,6.493055555555555,1.2777777777777777,1.2914108732924063,5.967752954840472,4.691751213500424
FFR63,159.0,e,10.834429824561404,7.336896929824562,1.418859649122807,1.4493273857385356,5.837994203309842,4.749798592501925
GAT02,201.0,e,14.5,8.503205128205128,1.7692307692307692,0.5305039787798408,5.835543766578249,5.608349213615068
GAT02,201.0,m1,12.666666666666668,8.10576923076923,1.551282051282051,0.649867374005305,5.994694960212202,5.1298258803551935
GAT02,201.0,m2,12.414141414141413,7.3129370629370625,1.5796425796425797,0.4332449160035367,5.523180864060043,5.108542893025051
GAT02,201.0,m3,12.03560606060606,7.455536130536131,1.5097319347319347,0.3249336870026525,5.059816840705583,4.898131771597577
GAT03,207.0,e,13.72,9.173333333333334,1.48,0.2915451895043732,5.539358600583091,5.077963596336064
GAT03,207.0,m3,12.415555555555557,8.105185185185185,1.517777777777778,0.1457725947521866,5.269679300291545,4.624946802668347
GAT03,207.0,m2,12.143703703703704,8.153456790123457,1.4785185185185186,0.09718172983479106,6.386682751918502,4.571437440855753
GAT03,207.0,m1,11.882777777777777,7.48175925925926,1.5338888888888889,0.0728862973760933,6.8170390909659035,4.4688699662235525
GAT04,169.0,e,13.758620689655173,9.07471264367816,1.5517241379310345,0.2506265664160401,5.513784461152882,5.203743591725197
GAT04,169.0,m3,11.93486590038314,7.398467432950191,1.553639846743295,0.12531328320802004,3.85579332947754,4.8626822116789565
GAT04,169.0,m2,11.089910600255427,7.215644955300127,1.4357598978288633,0.4381521178833609,3.988968602630417,4.700438056098251
GAT04,169.0,m1,10.642432950191571,6.903400383141762,1.4518199233716476,0.32861408841252066,4.066995269177114,4.643512794111507
GAT05,175.0,m1,8.222222222222221,5.462962962962964,1.3888888888888888,0.6756756756756757,8.108108108108109,4.708029369124681
GAT05,175.0,e,13.552287581699346,7.33442265795207,1.7826797385620914,0.49360107771322725,6.390502652184896,5.215361447181327
GAT05,175.0,m2,12.582477435418612,7.33009129577757,1.6408341114223466,0.3290673851421515,6.273757920248544,5.272689415181044
GAT05,175.0,m3,11.874358076563958,7.036630971833178,1.59000058356676,0.24680053885661363,6.7886517735197405,5.313249502359298
GAT06,176.0,e,24.266666666666666,10.65,2.2666666666666666,0.8241758241758242,6.868131868131869,4.669870694964938
GAT06,176.0,m1,17.364102564102563,9.036538461538463,1.7487179487179487,0.4120879120879121,6.00759534583064,4.578389879068549
GAT06,176.0,m3,16.7982905982906,8.941025641025641,1.7769230769230768,0.6293352038032889,6.487333067433193,4.58220143466291
GAT06,176.0,m2,16.148717948717948,8.76201923076923,1.7326923076923078,0.4720014028524667,6.097894166772077,4.593763192736189
GAT09,185.0,m1,9.0,4.922619047619047,1.5,0.0,7.936507936507936,4.72455591261534
GAT09,185.0,m2,9.153846153846153,5.1087454212454215,1.5192307692307692,0.0,8.100485373212646,4.805010473133925
GAT09,185.0,m3,8.888278388278389,5.278846153846153,1.4413919413919414,0.0,6.539924721742904,4.663315988117986
GAT09,185.0,e,11.297787738577213,5.964617071524966,1.6468334297281666,0.14204545454545456,6.112329904943541,4.929665877832868
GAT10,149.0,e,15.176470588235293,9.686274509803921,1.7058823529411764,0.7751937984496124,4.263565891472868,4.842479984790931
GAT10,149.0,m1,11.906417112299465,8.229500891265596,1.4438502673796791,0.3875968992248062,4.763361893104855,4.5976687427255
GAT10,149.0,m2,10.51336898395722,7.213606654783125,1.3868092691622103,0.2583979328165375,5.1363589091287265,4.496780474332091
GAT10,149.0,m3,9.61419340463458,6.993538324420677,1.3109402852049912,0.1937984496124031,4.7558836396778705,4.420388565452618
GAT12,225.0,m2,10.0,6.977777777777777,1.4,0.6666666666666667,7.333333333333333,4.965212315030781
GAT12,225.0,m3,10.125,6.780555555555555,1.325,0.33333333333333337,6.715447154471544,4.590951943011572
GAT12,225.0,m1,10.444444444444445,6.978703703703704,1.3555555555555556,0.22222222222222224,5.9807241681439365,4.552607021421132
GAT12,225.0,e,13.411458333333334,7.147048611111111,1.6260416666666666,0.5168067226890757,5.816075338993107,4.948841702624344
GAT14,225.0,m1,17.733333333333334,8.627777777777778,1.9333333333333333,0.7518796992481203,7.518796992481203,5.419437309525749
GAT14,225.0,m3,16.045238095238098,8.924007936507936,1.788095238095238,0.6246960685295327,6.246960685295328,5.6274334628777005
GAT14,225.0,m2,14.585714285714285,8.341931216931217,1.6587301587301586,0.4164640456863552,6.259878552101648,5.46209425682465
GAT14,225.0,e,15.826785714285714,9.102281746031746,1.694047619047619,0.4402252721164288,6.2294357682961845,5.589547644559854
GAT16,195.0,m3,16.53846153846154,9.903846153846153,1.6923076923076923,0.46511627906976744,7.441860465116279,4.581306810618916
GAT16,195.0,m2,15.01923076923077,8.875534188034187,1.5961538461538463,0.6440807732797397,7.630395253134271,4.808184529836613
GAT16,195.0,m1,15.42948717948718,8.625356125356126,1.6196581196581197,0.6003273531266641,7.480092561918574,4.758323382752698
GAT16,195.0,e,17.755448717948717,9.594017094017094,1.7314102564102565,0.5850164043328687,7.429476429525184,5.00047757858251
GAT17,182.0,m1,10.578947368421053,6.885964912280701,1.5263157894736843,0.4975124378109453,6.965174129353234,4.638418412900493
GAT17,182.0,m2,11.189473684210526,6.881871345029239,1.5298245614035089,0.5312420946116874,5.742474070326335,4.657782821642275
GAT17,182.0,m3,10.716059379217274,6.728939871045134,1.4814215024741342,0.8790957796098913,5.403119196490522,4.631997673597703
GAT17,182.0,e,14.271419534412956,7.376131986617184,1.7829411268556006,0.8472917595194485,5.3054722294480925,4.7395345368593365
GAT19,184.0,m2,17.0,7.428571428571429,1.8571428571428572,0.8403361344537815,7.563025210084033,4.667066809575584
GAT19,184.0,m3,15.0625,7.870535714285714,1.6160714285714286,0.896358543417367,5.686274509803922,4.403730082814855
GAT19,184.0,m1,13.799242424242424,7.716720779220779,1.5925324675324675,0.8663895665793199,4.59730128610584,4.502154954878919
GAT19,184.0,e,15.071654040404042,8.182910954785955,1.7360660173160172,0.7968509984639017,4.624446552814675,4.6133472606755745
GAT20,172.0,e,14.96,8.826666666666666,1.72,1.06951871657754,6.951871657754011,5.265161453715341
GAT20,172.0,m2,11.48,7.240256410256411,1.4753846153846153,1.0155285890580008,5.399012751953928,4.782043987230433
GAT20,172.0,m3,10.403333333333334,6.743504273504273,1.4002564102564103,0.6770190593720005,4.609442844736963,4.656745370825605
GAT20,172.0,m1,10.344166666666666,6.620128205128205,1.4460256410256411,0.7126823273158857,4.891508363060918,4.612881727532043
GAT21,208.0,m1,12.882352941176471,7.235294117647059,1.588235294117647,0.0,5.93607305936073,5.017094066958714
GAT21,208.0,m3,10.705882352941178,6.269607843137255,1.5,0.3448275862068966,6.071484805542434,4.769344878610966
GAT21,208.0,e,11.315032679738563,6.395479302832244,1.5666666666666667,0.2298850574712644,5.998011146957367,4.650368583344414
GAT21,208.0,m2,11.517524509803922,6.593484477124183,1.565625,0.1724137931034483,6.431498050939675,4.668116354476142
GAT23,187.0,m3,12.866666666666667,7.9111111111111105,1.4666666666666666,0.0,5.181347150259067,4.784474026457303
GAT23,187.0,m2,12.777083333333334,7.492013888888889,1.5458333333333334,0.0,6.531560274636923,4.774437014758885
GAT23,187.0,m1,12.674918300653594,7.308401416122004,1.5403594771241829,0.0,6.870096786864867,4.737015389610879
GAT23,187.0,e,9.756188725490196,5.731301062091504,1.4052696078431373,0.0,5.15257259014865,3.729538237504796
GAT25,175.0,e,16.666666666666668,10.626984126984127,1.6666666666666667,0.0,4.285714285714286,5.782856437041176
GAT25,175.0,m1,15.717948717948719,9.89041514041514,1.564102564102564,0.0,5.788690476190476,5.366433479457758
GAT25,175.0,m2,14.270299145299147,9.614443426943426,1.4594017094017093,0.5494505494505495,6.056929181929182,5.219935230502844
GAT25,175.0,m3,13.95272435897436,9.077499236874237,1.494551282051282,0.4120879120879121,5.824748168498169,5.041623968757712
GAT27,170.0,e,16.476190476190474,9.206349206349206,1.9047619047619047,0.2890173410404624,5.202312138728324,5.892215889840218
GAT27,170.0,m2,12.876984126984127,7.7559523809523805,1.619047619047619,0.1445086705202312,5.2957668478072755,5.490474741435419
GAT27,170.0,m3,11.559015059015058,7.087301587301587,1.5665445665445665,0.3836954355192346,5.254649162906,5.170340472177088
GAT27,170.0,m1,10.735927960927961,6.56547619047619,1.5415750915750914,0.48938447986523237,5.553890097985952,5.004881481259507
GAT28,207.0,e,19.208333333333332,9.888888888888891,2.125,0.43383947939262474,4.989154013015185,4.643587699668429
GAT28,207.0,m3,15.654166666666665,9.269444444444446,1.8625,0.21691973969631237,6.213585270970402,4.475255410720518
GAT28,207.0,m2,14.333547008547008,8.602706552706554,1.7801282051282052,0.14461315979754158,6.1160743911732505,4.49382385512821
GAT28,207.0,m1,13.70849358974359,8.16383547008547,1.7517628205128206,0.10845986984815618,6.523675511689797,4.423636612993203
GAT29,169.0,m1,9.846153846153847,6.3076923076923075,1.3846153846153846,0.0,9.375,4.6875
GAT29,169.0,m2,9.807692307692308,6.41025641025641,1.3461538461538463,0.0,7.837106299212598,4.790827640038819
GAT29,169.0,m3,9.538461538461538,6.63064713064713,1.3021978021978022,0.0,7.076589384660251,4.642748906561249
GAT29,169.0,e,11.389140271493213,7.022004955828486,1.520765998707175,0.26041666666666663,6.783136482939632,4.607061679920937
GAT30,148.0,m1,8.6,7.066666666666667,1.2,0.0,3.488372093023256,4.26995996931293
GAT30,148.0,m2,8.925,6.533333333333333,1.3083333333333333,0.45045045045045046,5.3477896501152316,4.148448150298538
GAT30,148.0,m3,8.374242424242425,6.097979797979798,1.2661616161616163,0.3003003003003003,5.231859766743487,4.056895478101113
GAT30,148.0,e,10.180681818181817,6.531818181818182,1.4296212121212122,0.48163548163548164,5.334151235314026,4.3495812536978
GAT31,226.0,m3,9.4,6.022222222222223,1.4,0.0,7.092198581560284,4.406635872898061
GAT31,226.0,m2,10.430769230769231,7.164957264957266,1.353846153846154,0.0,6.230663049169404,4.375634610312126
GAT31,226.0,m1,10.876923076923077,6.964672364672365,1.441025641025641,0.0,6.768154451080256,4.4796324048398315
GAT31,226.0,e,11.707692307692309,7.135170940170941,1.5507692307692307,0.21126760563380279,5.639496120000333,4.720162561516326
GAT33,232.0,m1,10.363636363636363,6.43939393939394,1.4545454545454546,0.0,7.017543859649122,4.768316485434157
GAT33,232.0,m3,10.396103896103895,6.933982683982684,1.3701298701298703,0.0,7.618360970920451,4.3290320809326435
GAT33,232.0,m2,10.787878787878787,6.772655122655123,1.4134199134199135,0.0,6.7249978489263915,4.534169535436577
GAT33,232.0,e,12.62215909090909,7.279664953102453,1.5600649350649352,0.11494252873563218,6.365587467154564,4.8245605091811345
GAT34,163.0,e,16.44,8.301333333333334,1.92,0.7299270072992701,6.326034063260341,5.3016088087551845
GAT34,163.0,m1,13.942222222222224,7.933074074074074,1.6544444444444444,0.36496350364963503,6.561075284057354,5.360459919329399
GAT34,163.0,m3,11.35037037037037,6.899827160493827,1.4918518518518518,0.24330900243309003,5.725401540722921,5.053230831967815
